-79,-81,-68,-75
-82,-78,-67,-75
-87,-80,-65,-72
-86,-81,-68,-73
-82,-80,-66,-69
-84,-79,-67,-70
-89,-80,-67,-71
-85,-80,-67,-69
-78,-81,-69,-69
-82,-76,-63,-72
-83,-72,-61,-75
-84,-72,-60,-74
-76,-73,-57,-75
-85,-76,-57,-72
-77,-79,-67,-78
-72,-76,-68,-78
-81,-77,-65,-81
-77,-77,-62,-80
-80,-79,-60,-78
-77,-78,-76,-88
-80,-78,-75,-87
-89,-80,-74,-85
-84,-81,-72,-83
-84,-82,-73,-84
-70,-75,-74,-83
-72,-76,-74,-86
-82,-75,-80,-87
-82,-78,-79,-88
-85,-79,-78,-86
-72,-74,-81,-88
-76,-74,-82,-87
-69,-71,-83,-89
-83,-75,-81,-89
-72,-74,-82,-89
-68,-70,-80,-90
-71,-70,-82,-91
-77,-72,-82,-90
-79,-75,-84,-88
-76,-76,-84,-89
-72,-66,-84,-92
-69,-67,-85,-91
-80,-67,-86,-91
-73,-71,-85,-91
-76,-73,-83,-91
-61,-70,-88,-95
-72,-67,-89,-94
-69,-67,-91,-95
-75,-69,-88,-93
-73,-72,-89,-91
-73,-67,-89,-93
-75,-70,-88,-94
-73,-72,-85,-94
-72,-70,-84,-95
-75,-69,-84,-95
-65,-69,-91,-95
-70,-71,-90,-94
-68,-71,-88,-93
-68,-70,-86,-93
-70,-70,-84,-94
-66,-74,-89,-95
-61,-74,-88,-97
-70,-72,-90,-96
-69,-70,-88,-95
-70,-69,-90,-95
-72,-74,-90,-95
-56,-76,-90,-96
-66,-77,-91,-95
-64,-76,-90,-96
-62,-72,-89,-96
-57,-78,-89,-93
-65,-75,-86,-94
-64,-77,-86,-94
-73,-78,-90,-95
-83,-78,-90,-96
-63,-90,-72,-74
-68,-87,-75,-77
-68,-82,-77,-82
-78,-80,-79,-84
-73,-79,-81,-85
-75,-69,-84,-91
-75,-71,-84,-92
-74,-71,-83,-92
-64,-70,-84,-91
-74,-70,-84,-91
-66,-69,-85,-90
-69,-70,-87,-91
-70,-69,-85,-92
-66,-68,-85,-92
-73,-67,-84,-92
-75,-67,-85,-91
-68,-69,-84,-91
-79,-71,-83,-91
-73,-70,-83,-91
-73,-68,-83,-92
-74,-65,-83,-90
-71,-65,-83,-89
-70,-67,-85,-89
-68,-66,-85,-90
-69,-65,-84,-91
-73,-67,-83,-91
-85,-67,-82,-91
-76,-66,-85,-89
-72,-64,-86,-90
-70,-65,-85,-92
-70,-63,-83,-91
-70,-65,-81,-90
-71,-68,-79,-88
-73,-69,-78,-88
-77,-72,-78,-88
-76,-73,-76,-91
-78,-74,-75,-90
-85,-75,-77,-91
-83,-75,-77,-89
-74,-77,-78,-90
-83,-75,-76,-90
-77,-77,-75,-88
-75,-76,-75,-87
-78,-77,-74,-87
-78,-79,-74,-87
-90,-77,-78,-87
-81,-79,-77,-87
-74,-81,-77,-86
-78,-81,-76,-85
-79,-83,-77,-86
-73,-80,-74,-81
-75,-79,-70,-81
-79,-80,-71,-84
-73,-80,-71,-83
-72,-80,-69,-84
-86,-83,-74,-81
-80,-83,-73,-80
-74,-82,-72,-81
-75,-82,-71,-80
-80,-83,-68,-79
-76,-82,-68,-75
-82,-84,-71,-76
-75,-83,-70,-75
-84,-82,-69,-75
-82,-82,-67,-78
-80,-83,-71,-74
-82,-83,-70,-72
-83,-86,-71,-73
-75,-86,-73,-75
-77,-85,-70,-75
-84,-83,-69,-64
-89,-84,-70,-66
-86,-84,-69,-68
-83,-83,-72,-68
-81,-82,-71,-73
-83,-86,-69,-70
-78,-86,-71,-72
-82,-86,-73,-73
-85,-87,-75,-73
-85,-87,-76,-76
-80,-84,-71,-69
-81,-85,-70,-69
-85,-84,-71,-69
-84,-84,-69,-70
-82,-85,-70,-74
-77,-82,-68,-68
-79,-81,-66,-67
-86,-81,-68,-66
-82,-80,-69,-68
-92,-82,-71,-69
-80,-78,-64,-68
-76,-80,-64,-67
-83,-81,-63,-67
-84,-81,-64,-67
-84,-80,-64,-68
-80,-78,-66,-72
-80,-79,-64,-70
-79,-80,-63,-69
-82,-81,-64,-71
-82,-80,-64,-72
-77,-81,-64,-74
-75,-79,-63,-73
-84,-79,-65,-72
-84,-80,-65,-72
-78,-79,-68,-74
-72,-77,-67,-79
-78,-79,-70,-79
-81,-82,-70,-80
-79,-81,-71,-78
-75,-80,-70,-77
-75,-75,-72,-81
-71,-76,-74,-84
-78,-73,-76,-86
-81,-76,-77,-85
-77,-79,-76,-87
-75,-79,-74,-86
-82,-77,-76,-87
-82,-78,-77,-86
-73,-76,-77,-86
-76,-73,-77,-89
-81,-72,-77,-92
-71,-73,-76,-91
-79,-78,-76,-89
-76,-78,-74,-88
-85,-77,-74,-91
-86,-77,-74,-91
-82,-77,-76,-91
-78,-77,-76,-92
-76,-76,-77,-91
-74,-73,-78,-92
-71,-71,-78,-92
-75,-70,-77,-89
-74,-71,-78,-88
-83,-74,-78,-87
-72,-74,-80,-87
-76,-70,-82,-93
-82,-70,-82,-92
-70,-73,-81,-92
-77,-72,-81,-92
-83,-69,-80,-92
-73,-64,-84,-92
-68,-67,-83,-91
-77,-67,-84,-91
-75,-67,-84,-92
-67,-67,-85,-91
-75,-67,-88,-95
-73,-69,-86,-95
-65,-70,-87,-92
-68,-71,-87,-91
-73,-69,-85,-90
-72,-64,-87,-94
-75,-67,-85,-94
-67,-68,-86,-94
-68,-68,-85,-93
-68,-69,-84,-93
-65,-71,-88,-88
-68,-71,-88,-91
-73,-72,-85,-91
-71,-72,-85,-92
-61,-75,-86,-92
-71,-74,-90,-95
-73,-72,-87,-92
-67,-71,-90,-92
-82,-70,-90,-91
-65,-70,-90,-91
